Fecha,PRECTOTCORR,T2M,T2M_MAX,T2M_MIN,RH2M
2023-01-01,10.58,22.87,28.25,17.23,63.04
2023-01-02,0.04,24.15,33.27,14.78,47.97
2023-01-03,0.0,24.89,33.57,16.92,33.68
2023-01-04,0.0,25.73,34.77,15.5,36.34
2023-01-05,0.0,27.6,37.34,17.2,25.6
2023-01-06,0.0,29.59,38.94,18.63,27.0
2023-01-07,0.0,31.02,39.1,22.41,26.4
2023-01-08,0.0,30.46,39.12,21.35,29.35
2023-01-09,0.0,30.59,39.1,21.18,32.24
2023-01-10,0.0,31.95,40.68,21.51,26.55
2023-01-11,4.64,25.89,31.03,21.87,56.52
2023-01-12,2.26,23.28,27.44,18.86,53.93
2023-01-13,0.11,23.57,31.95,14.88,41.32
2023-01-14,0.0,26.22,35.44,16.39,26.34
2023-01-15,0.0,29.06,38.7,18.04,27.78
2023-01-16,0.0,30.81,39.32,22.04,31.14
2023-01-17,0.01,32.41,41.04,22.21,25.37
2023-01-18,0.62,27.72,35.27,22.99,44.57
2023-01-19,0.03,31.57,40.44,21.15,41.85
2023-01-20,34.59,31.12,40.07,22.64,53.61
2023-01-21,32.62,24.88,31.46,19.03,70.79
2023-01-22,0.0,26.76,32.75,19.64,53.7
2023-01-23,0.0,25.23,32.3,18.55,55.75
2023-01-24,0.03,27.84,36.02,18.87,49.5
2023-01-25,0.49,24.55,30.71,18.22,63.07
2023-01-26,1.49,28.56,35.8,20.44,56.04
2023-01-27,28.68,24.01,26.32,20.79,86.21
2023-01-28,0.24,24.73,30.91,19.76,70.73
2023-01-29,0.0,24.91,31.32,19.23,63.71
2023-01-30,0.0,24.55,32.5,15.67,60.04
2023-01-31,0.0,26.38,34.07,18.28,53.1
2023-02-01,1.5,25.69,32.81,19.36,63.28
2023-02-02,1.34,24.95,30.68,19.52,65.94
2023-02-03,0.26,23.97,29.95,18.99,62.08
2023-02-04,0.0,23.7,31.22,15.97,55.51
2023-02-05,0.0,25.81,34.19,17.13,47.08
2023-02-06,0.0,28.17,37.81,18.24,40.96
2023-02-07,0.11,29.99,39.61,19.69,34.58
2023-02-08,0.09,27.86,34.69,21.31,36.48
2023-02-09,0.0,29.33,38.7,19.61,34.82
2023-02-10,0.0,30.29,39.31,21.23,35.41
2023-02-11,0.0,32.24,40.38,23.4,35.71
2023-02-12,0.0,33.59,40.27,26.78,36.23
2023-02-13,5.09,24.96,29.2,20.05,53.68
2023-02-14,0.25,25.11,34.05,18.73,37.1
2023-02-15,0.0,26.19,35.25,14.77,31.49
2023-02-16,6.26,21.24,26.39,13.07,50.11
2023-02-17,0.29,13.04,18.6,8.51,44.86
2023-02-18,0.0,16.12,25.04,6.91,39.57
2023-02-19,0.0,19.6,29.08,10.58,34.9
2023-02-20,0.0,22.66,32.31,12.92,35.3
2023-02-21,0.0,25.53,35.0,15.01,38.42
2023-02-22,0.02,27.0,35.69,20.34,46.95
2023-02-23,0.98,23.4,28.0,20.36,62.21
2023-02-24,0.01,26.78,34.95,18.45,51.67
2023-02-25,0.0,28.05,36.77,19.88,42.1
2023-02-26,0.0,24.24,32.86,17.57,35.05
2023-02-27,0.0,25.81,35.71,14.9,31.69
2023-02-28,0.0,29.84,39.05,20.8,35.86
2023-03-01,1.69,30.77,39.45,22.46,35.74
2023-03-02,0.27,30.7,39.22,22.66,43.89
2023-03-03,0.0,30.53,38.86,22.58,39.15
2023-03-04,0.0,31.06,39.7,22.81,41.36
2023-03-05,0.0,31.39,40.06,22.33,42.02
2023-03-06,0.0,31.38,38.9,25.07,37.19
2023-03-07,0.01,29.54,36.71,23.62,39.14
2023-03-08,0.0,29.24,37.88,20.9,42.85
2023-03-09,0.0,30.52,39.69,21.68,34.13
2023-03-10,0.0,30.65,37.65,22.9,34.54
2023-03-11,0.0,32.37,40.53,25.04,36.51
2023-03-12,0.0,31.78,39.92,24.99,34.65
2023-03-13,0.14,31.58,39.0,25.44,37.36
2023-03-14,4.59,30.03,38.18,24.47,51.73
2023-03-15,5.92,27.17,33.2,23.3,71.31
2023-03-16,0.0,27.66,34.28,21.35,62.74
2023-03-17,0.0,29.23,37.03,22.15,53.91
2023-03-18,0.01,28.79,36.28,22.52,53.49
2023-03-19,1.36,29.04,35.23,23.64,57.21
2023-03-20,2.26,24.28,29.24,19.43,59.72
2023-03-21,20.79,18.4,22.01,15.02,76.44
2023-03-22,4.6,17.74,21.07,15.22,85.32
2023-03-23,0.02,22.7,29.32,16.26,75.41
2023-03-24,6.95,22.63,28.35,17.17,70.44
2023-03-25,10.94,22.58,28.73,17.64,72.77
2023-03-26,0.0,17.87,24.0,13.05,61.69
2023-03-27,0.0,18.79,26.39,10.63,66.9
2023-03-28,0.13,22.68,30.14,16.42,65.47
2023-03-29,7.51,20.81,26.48,14.96,58.61
2023-03-30,0.01,18.95,26.04,11.37,62.91
2023-03-31,0.0,17.1,22.75,10.15,52.6
2023-04-01,0.0,14.97,23.47,6.85,49.76
2023-04-02,13.66,18.04,22.69,15.16,67.38
2023-04-03,18.71,19.23,24.7,15.63,85.81
2023-04-04,0.14,19.1,24.89,14.76,80.34
2023-04-05,0.0,19.4,26.07,13.21,77.28
2023-04-06,0.0,19.59,24.79,15.23,76.27
2023-04-07,0.0,19.77,26.66,14.33,71.56
2023-04-08,0.0,19.38,27.35,12.33,68.2
2023-04-09,0.0,19.63,27.78,13.16,62.6
2023-04-10,0.0,20.8,28.46,13.38,70.27
2023-04-11,0.16,22.83,31.41,16.4,67.35
2023-04-12,2.35,17.35,22.09,13.11,70.93
2023-04-13,0.0,13.73,19.97,8.06,54.97
2023-04-14,0.47,14.13,20.89,6.92,55.13
2023-04-15,0.12,16.09,22.56,11.03,64.61
2023-04-16,0.18,15.07,19.29,11.41,72.37
2023-04-17,6.19,15.89,22.44,10.25,70.44
2023-04-18,0.98,12.35,18.05,6.7,62.54
2023-04-19,0.0,14.6,21.26,10.65,54.94
2023-04-20,0.0,15.64,24.33,7.76,52.71
2023-04-21,0.0,15.5,23.4,9.7,62.79
2023-04-22,0.0,18.28,26.46,13.02,58.16
2023-04-23,0.0,15.07,22.59,11.44,76.87
2023-04-24,0.02,16.81,23.62,10.41,75.02
2023-04-25,1.52,17.8,23.37,13.23,78.0
2023-04-26,0.0,19.07,27.0,11.55,67.75
2023-04-27,0.0,19.81,28.94,12.07,63.42
2023-04-28,0.0,20.16,28.56,13.48,63.21
2023-04-29,0.0,22.18,30.31,14.69,68.58
2023-04-30,0.46,19.89,25.8,11.07,62.55
2023-05-01,0.0,12.92,20.87,6.73,45.12
2023-05-02,0.0,12.51,20.98,6.64,46.69
2023-05-03,0.0,12.21,20.82,5.07,53.26
2023-05-04,0.0,14.19,23.16,6.56,60.21
2023-05-05,8.44,14.8,21.28,10.44,69.53
2023-05-06,22.94,13.65,17.39,8.93,86.75
2023-05-07,0.0,14.44,22.6,6.83,65.22
2023-05-08,0.0,13.42,20.75,8.45,72.2
2023-05-09,0.0,14.31,21.27,8.59,68.76
2023-05-10,0.0,14.62,21.2,10.62,64.62
2023-05-11,0.0,13.24,19.32,8.11,70.35
2023-05-12,0.0,16.58,23.38,10.47,67.23
2023-05-13,0.0,18.15,26.84,11.33,70.72
2023-05-14,0.0,18.45,27.64,11.94,66.34
2023-05-15,0.0,18.73,28.13,12.09,65.14
2023-05-16,0.0,18.19,27.36,11.11,68.0
2023-05-17,2.27,18.76,26.24,13.48,69.04
2023-05-18,4.39,14.45,20.15,9.61,64.69
2023-05-19,20.31,11.86,14.68,8.99,86.12
2023-05-20,0.44,11.32,17.46,7.4,78.1
2023-05-21,2.8,14.72,19.85,10.35,91.33
2023-05-22,1.46,17.59,22.19,14.68,89.23
2023-05-23,1.49,18.64,23.01,14.85,88.5
2023-05-24,20.78,18.75,21.51,16.44,92.67
2023-05-25,18.31,18.34,21.69,15.36,95.92
2023-05-26,12.32,15.86,20.02,11.48,78.58
2023-05-27,0.0,9.68,13.83,3.28,63.71
2023-05-28,0.0,6.23,13.71,0.27,70.81
2023-05-29,0.03,8.83,15.64,3.68,73.73
2023-05-30,0.01,10.76,17.16,5.61,79.58
2023-05-31,0.0,14.03,21.87,9.01,83.67
2023-06-01,0.0,16.2,22.86,10.74,84.3
2023-06-02,0.01,18.22,22.78,15.19,86.02
2023-06-03,0.0,18.53,24.06,13.58,89.69
2023-06-04,0.0,13.28,17.32,6.61,69.9
2023-06-05,0.0,11.06,18.78,4.91,63.61
2023-06-06,0.0,16.88,23.82,10.87,84.66
2023-06-07,0.0,16.43,21.32,12.42,83.72
2023-06-08,0.0,20.61,26.29,16.35,86.39
2023-06-09,0.0,14.23,19.16,5.64,59.15
2023-06-10,0.0,8.22,16.03,3.33,55.16
2023-06-11,0.0,4.74,11.96,-0.16,59.96
2023-06-12,0.0,4.43,12.59,-1.6,63.54
2023-06-13,0.0,5.28,12.82,-0.69,63.4
2023-06-14,0.0,5.18,13.56,-1.21,68.14
2023-06-15,0.0,6.47,14.26,0.91,70.79
2023-06-16,0.0,8.55,16.53,2.27,78.29
