Fecha,anio,mes,lat,long,DPTO,LOC,NDVI_mensual
2014-01-01,2014,1,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.25425000000000003
2014-02-01,2014,2,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.35100000000000003
2014-03-01,2014,3,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.37245000000000006
2014-04-01,2014,4,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.42215
2014-05-01,2014,5,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.45625000000000004
2014-06-01,2014,6,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.385
2014-07-01,2014,7,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.36225
2014-08-01,2014,8,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.40590000000000004
2014-09-01,2014,9,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.4736
2014-10-01,2014,10,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.46590000000000004
2014-11-01,2014,11,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.40975000000000006
2014-12-01,2014,12,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.3459
2015-01-01,2015,1,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.32605000000000006
2015-02-01,2015,2,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.44725000000000004
2015-03-01,2015,3,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.4469
2015-04-01,2015,4,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.44855
2015-05-01,2015,5,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.43790000000000007
2015-06-01,2015,6,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.35775
2015-07-01,2015,7,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.30695000000000006
2015-08-01,2015,8,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.29435
2015-09-01,2015,9,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.31055
2015-10-01,2015,10,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.4173
2015-11-01,2015,11,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.39150000000000007
2015-12-01,2015,12,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.4131
2016-01-01,2016,1,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.4679
2016-02-01,2016,2,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.48109999999999997
2016-03-01,2016,3,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.4646
2016-04-01,2016,4,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.45935000000000004
2016-05-01,2016,5,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.38980000000000004
2016-06-01,2016,6,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.32230000000000003
2016-07-01,2016,7,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.3318
2016-08-01,2016,8,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.3653
2016-09-01,2016,9,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.3528
2016-10-01,2016,10,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.41585000000000005
2016-11-01,2016,11,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.4252
2016-12-01,2016,12,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.3647
2017-01-01,2017,1,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.28775
2017-02-01,2017,2,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.37995
2017-03-01,2017,3,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.4055
2017-04-01,2017,4,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.41615
2017-05-01,2017,5,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.5206500000000001
2017-06-01,2017,6,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.40025
2017-07-01,2017,7,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.35005000000000003
2017-08-01,2017,8,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.3922
2017-09-01,2017,9,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.42815000000000003
2017-10-01,2017,10,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.4263
2017-11-01,2017,11,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.39865
2017-12-01,2017,12,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.3146
2018-01-01,2018,1,-38.08573674,-63.42996816,HUCAL,Jacinto Arauz,0.30200000000000005
