Fecha,Precipitacion_mm_mes,precip_mm_dia,Latitud_solicitada,Longitud_solicitada,Latitud_grilla,Longitud_grilla,Fuente,DPTO,LOC
2013-01-01,37.20000147819519,1.2,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-02-01,53.75999879837036,1.92,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-03-01,47.73999881744385,1.54,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-04-01,48.00000071525574,1.6,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-05-01,10.849999815225601,0.35,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-06-01,1.5000000223517418,0.05,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-07-01,46.80999970436096,1.51,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-08-01,6.509999796748161,0.21,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-09-01,66.60000085830688,2.22,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-10-01,86.79999852180481,2.8,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-11-01,31.499998569488525,1.05,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2013-12-01,28.210000813007355,0.91,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-01-01,27.27999985218048,0.88,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-02-01,80.0799970626831,2.86,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-03-01,61.380000591278076,1.98,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-04-01,140.10000228881836,4.67,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-05-01,56.42000162601471,1.82,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-06-01,14.399999678134918,0.48,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-07-01,64.78999733924866,2.09,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-08-01,63.54999852180481,2.05,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-09-01,54.60000157356262,1.82,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-10-01,156.85999822616577,5.06,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-11-01,43.500001430511475,1.45,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2014-12-01,20.770000517368317,0.67,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-01-01,83.70000147819519,2.7,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-02-01,84.83999919891357,3.03,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-03-01,42.47000014781952,1.37,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-04-01,81.60000085830688,2.72,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-05-01,35.649999260902405,1.15,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-06-01,1.5000000223517418,0.05,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-07-01,16.119999408721924,0.52,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-08-01,46.80999970436096,1.51,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-09-01,26.100000143051147,0.87,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-10-01,74.40000295639038,2.4,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-11-01,42.89999842643738,1.43,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2015-12-01,49.600000739097595,1.6,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-01-01,121.83000206947327,3.93,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-02-01,84.10000276565552,2.9,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-03-01,21.699999630451202,0.7,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-04-01,50.39999842643738,1.68,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-05-01,92.69000029563904,2.99,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-06-01,27.600000500679016,0.92,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-07-01,29.759999334812164,0.96,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-08-01,6.509999796748161,0.21,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-09-01,25.500000715255737,0.85,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-10-01,98.58000206947327,3.18,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-11-01,48.89999985694885,1.63,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2016-12-01,11.779999852180481,0.38,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-01-01,39.369999408721924,1.27,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-02-01,64.95999813079834,2.32,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-03-01,168.0200023651123,5.42,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-04-01,77.39999771118164,2.58,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-05-01,40.92000162601471,1.32,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-06-01,40.50000071525574,1.35,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-07-01,22.009999334812164,0.71,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-08-01,40.29999852180481,1.3,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-09-01,57.29999899864197,1.91,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-10-01,47.429999113082886,1.53,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-11-01,67.5,2.25,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2017-12-01,12.400000184774399,0.4,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-01-01,50.52999985218048,1.63,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-02-01,16.80000066757202,0.6,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-03-01,26.350000739097595,0.85,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-04-01,37.200000286102295,1.24,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-05-01,45.26000118255615,1.46,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-06-01,12.000000178813934,0.4,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-07-01,61.380000591278076,1.98,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-08-01,10.230000406503677,0.33,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-09-01,42.29999899864197,1.41,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-10-01,57.04000103473663,1.84,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-11-01,89.40000057220459,2.98,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2018-12-01,55.48999881744385,1.79,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-01-01,36.26999866962433,1.17,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-02-01,10.639999866485596,0.38,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-03-01,38.44000029563904,1.24,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-04-01,12.000000178813934,0.4,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-05-01,42.77999985218048,1.38,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-06-01,46.19999885559082,1.54,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-07-01,2.7900001108646393,0.09,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-08-01,8.059999704360962,0.26,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-09-01,15.0,0.5,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-10-01,52.39000177383423,1.69,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-11-01,38.399999141693115,1.28,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2019-12-01,29.13999992609024,0.94,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2020-01-01,70.67999911308289,2.28,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2020-02-01,22.329999446868896,0.77,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2020-03-01,52.39000177383423,1.69,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2020-04-01,77.39999771118164,2.58,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
2020-05-01,28.520000517368317,0.92,-38.08573674,-63.42996816,-38.75,-63.75,NOAA PSL - CMAP Enhanced,HUCAL,Jacinto Arauz
