id_provincia,provincia,id_departamento,departamento,id_cultivo,cultivo,ID Campańa,campana,sup_sembrada_ha,sup_cosechada_ha,produccion_tn,rendimiento_kg_ha,DPTO_LOC
14,CORDOBA,14,CAPITAL,14,Girasol,17,1985/86,500,500,650,1300,CAPITAL
14,CORDOBA,14,CAPITAL,14,Girasol,58,2024/25,250,250,575,2300,CAPITAL
18,CORRIENTES,21,CAPITAL,14,Girasol,9,1977/78,70,70,63,900,CAPITAL
18,CORRIENTES,21,CAPITAL,14,Girasol,10,1978/79,100,98,73,745,CAPITAL
18,CORRIENTES,21,CAPITAL,14,Girasol,11,1979/80,80,75,75,1000,CAPITAL
42,LA PAMPA,7,ATREUCO,14,Girasol,1,1969/70,160,100,60,600,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,2,1970/71,1200,200,70,350,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,3,1971/72,600,50,15,300,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,4,1972/73,500,400,276,690,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,5,1973/74,500,350,245,700,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,6,1974/75,400,200,120,600,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,7,1975/76,500,250,125,500,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,8,1976/77,1500,1250,1062,850,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,9,1977/78,3500,3000,2100,700,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,10,1978/79,7500,7000,6000,857,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,11,1979/80,10100,8700,6100,701,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,12,1980/81,7300,5110,3577,700,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,13,1981/82,14900,11900,9510,799,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,14,1982/83,15500,13950,15000,1075,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,15,1983/84,9000,8370,7533,900,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,16,1984/85,15000,14500,18400,1269,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,17,1985/86,25000,24400,37000,1516,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,18,1986/87,15000,13950,16740,1200,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,19,1987/88,15500,13350,17000,1273,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,20,1988/89,32000,30400,45600,1500,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,21,1989/90,37600,34960,56500,1616,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,22,1990/91,34000,33000,49500,1500,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,23,1991/92,37500,33000,42900,1300,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,24,1992/93,35700,31600,37900,1199,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,25,1993/94,32000,31800,52200,1642,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,26,1994/95,32600,32300,44300,1372,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,27,1995/96,45600,45600,73400,1610,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,28,1996/97,39000,38800,67900,1750,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,29,1997/98,46700,45700,86800,1899,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,30,1998/99,48600,47600,90400,1899,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,31,1999/00,43000,41500,68900,1660,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,32,2000/01,35000,29800,45000,1510,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,33,2001/02,34500,34400,60200,1750,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,34,2002/03,41000,40800,65470,1605,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,35,2003/04,41900,41800,75000,1794,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,36,2004/05,48000,47970,100737,2100,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,37,2005/06,38000,36500,52925,1450,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,38,2006/07,55000,53000,68900,1300,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,39,2007/08,60500,60000,96000,1600,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,40,2008/09,70000,67000,53600,800,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,41,2009/10,60000,59000,67850,1150,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,42,2010/11,55000,52500,99750,1900,ATREUCO
42,LA PAMPA,7,ATREUCO,14,Girasol,43,2011/12,57000,57000,96900,1700,ATREUCO
