Fecha,MEI_v2,atl_natl_anom,atl_natl_sst,atl_satl_anom,atl_satl_sst,atl_trop_anom,atl_trop_sst,cpac850,cpolr,darwin_slp,epac850,nino12_anom,nino12_sst,nino34_3m_anom,nino34_anom,nino34_sst,nino3_anom,nino3_sst,nino4_anom,nino4_sst,oisst_nino12_anom,oisst_nino12_sst,oisst_nino34_anom,oisst_nino34_sst,oisst_nino3_anom,oisst_nino3_sst,oisst_nino4_anom,oisst_nino4_sst,olr_equatorial,oni_anom,oni_total,qbo_u30,qbo_u50,rnino12,rnino3,rnino34,rnino34_anom,rnino4,roni_anom,soi,tahiti_slp,wpac850,z500t,zwnd200
2013-01-01,-0.06,0.19,26.18,0.18,25.78,0.04,27.62,3.6666666666666665,-0.54,1.3666666666666665,3.2999999999999994,-0.68,23.89,-0.43,-0.53,26.01,-0.66,25.0,-0.08,28.24,-0.14,24.37,-0.48,26.09,-0.67,25.0,-0.08,28.14,8.233333333333333,-0.29,26.21,-3.5133333333333336,-6.923333333333333,-0.27,-0.9,-0.66,-0.7,-0.2,-0.63,-0.1,2.6999999999999997,0.3666666666666667,90.06333333333333,9.8
2013-02-01,-0.08,0.19,25.75,-0.04,26.45,0.07,27.86,4.233333333333333,8.74,2.6333333333333333,1.6000000000000003,-0.73,25.37,-0.43,-0.52,26.24,-0.56,25.84,-0.19,28.01,-0.11,25.98,-0.48,26.25,-0.55,25.83,0.09,28.19,12.799999999999999,-0.29,26.44,-0.49666666666666665,-6.266666666666667,-0.27,-0.8,-0.7,-0.72,0.01,-0.6,-0.30000000000000004,3.6333333333333333,2.766666666666667,89.67,4.633333333333334
2013-03-01,-0.13,0.61,26.15,-0.03,26.99,0.04,28.23,3.6999999999999997,-0.84,1.7,1.0333333333333334,-0.67,25.81,-0.34,-0.25,27.03,-0.12,27.08,-0.37,27.95,-0.49,26.11,-0.22,27.02,0.04,27.2,-0.49,27.74,9.866666666666665,-0.21,26.96,2.0733333333333337,-6.2299999999999995,-0.63,0.0,-0.33,-0.4,-0.69,-0.5,2.0,5.3999999999999995,1.5,89.72666666666667,7.933333333333334
2013-04-01,-0.35,0.43,26.31,-0.03,26.88,0.06,28.59,3.733333333333333,10.21,3.0999999999999996,2.1666666666666665,-1.23,24.31,-0.3,-0.25,27.57,-0.36,27.22,-0.27,28.36,-1.08,24.65,0.11,27.92,0.02,27.59,-0.15,28.36,19.166666666666668,-0.19,27.38,5.81,-4.973333333333334,-1.26,-0.08,0.05,-0.38,-0.3,-0.43,0.30000000000000004,4.2,3.733333333333333,89.69333333333333,6.333333333333333
2013-05-01,-0.68,0.37,26.7,0.03,26.17,-0.1,28.33,2.433333333333333,7.19,3.1666666666666665,2.4333333333333336,-1.58,22.83,-0.36,-0.4,27.53,-0.82,26.43,-0.23,28.69,-1.37,23.24,-0.3,27.58,-0.69,26.52,-0.22,28.57,20.833333333333332,-0.27,27.47,9.35,-3.64,-1.53,-0.83,-0.41,-0.52,-0.34,-0.44,1.05,5.0,3.6,89.43666666666667,3.033333333333333
2013-06-01,-1.14,0.33,27.05,-0.12,24.77,-0.18,27.76,2.6666666666666665,4.09,2.6333333333333333,1.8666666666666665,-1.91,21.22,-0.4,-0.42,27.3,-0.89,25.73,-0.2,28.77,-1.9,21.27,-0.34,27.37,-0.8,25.84,-0.27,28.57,18.366666666666667,-0.34,27.24,10.910000000000002,1.1233333333333333,-1.94,-0.8,-0.28,-0.42,-0.23,-0.43,1.6,4.966666666666667,2.2,89.60666666666667,2.3
2013-07-01,-0.79,0.11,27.3,-0.1,23.62,-0.14,27.28,2.8000000000000003,8.83,3.6,2.333333333333333,-1.6,20.36,-0.4,-0.39,26.91,-0.7,25.1,-0.24,28.66,-1.81,20.02,-0.26,27.04,-0.57,25.3,-0.17,28.61,21.633333333333336,-0.35,26.89,12.333333333333334,4.846666666666667,-1.77,-0.56,-0.21,-0.35,-0.13,-0.38,1.05,5.2,2.3666666666666667,89.25333333333333,1.5333333333333332
2013-08-01,-0.45,0.19,27.92,0.11,23.14,-0.11,27.03,2.0333333333333337,9.28,4.166666666666667,2.1333333333333333,-1.16,19.85,-0.32,-0.38,26.47,-0.65,24.47,-0.18,28.61,-1.03,19.83,-0.47,26.43,-0.72,24.5,-0.19,28.5,25.8,-0.28,26.64,12.586666666666666,6.126666666666666,-1.04,-0.77,-0.49,-0.39,-0.2,-0.32,0.25,4.966666666666666,2.1999999999999997,89.35666666666667,-4.466666666666667
2013-09-01,-0.33,0.34,28.48,-0.03,22.9,0.03,27.22,3.3000000000000003,4.75,3.466666666666667,2.8666666666666667,-0.77,19.95,-0.25,-0.18,26.54,-0.33,24.58,-0.11,28.65,-0.77,19.81,0.05,26.82,-0.05,24.96,0.06,28.74,20.866666666666667,-0.21,26.51,11.093333333333334,6.316666666666666,-0.84,-0.13,0.0,-0.22,0.0,-0.28,0.4,4.866666666666666,1.7,89.56666666666668,1.5333333333333332
2013-10-01,-0.13,0.27,28.4,-0.09,23.22,0.04,27.47,1.9666666666666666,2.46,3.5,1.866666666666667,-0.75,20.27,-0.17,-0.2,26.52,-0.19,24.79,-0.04,28.72,-0.67,20.2,-0.15,26.62,-0.05,25.04,0.12,28.8,18.366666666666667,-0.13,26.54,9.776666666666666,6.55,-0.71,-0.07,-0.19,-0.24,0.13,-0.22,-0.1,4.333333333333333,0.4000000000000001,89.12333333333333,1.6666666666666667
