fecha;latitud;longitud;precipitacion_mm;fuente
31/1/2020;-37;-65;139.8;NOAA PSL (ejemplo)
29/2/2020;-37;-65;119.1;NOAA PSL (ejemplo)
31/3/2020;-37;-65;162.4;NOAA PSL (ejemplo)
30/4/2020;-37;-65;202.1;NOAA PSL (ejemplo)
31/5/2020;-37;-65;103.3;NOAA PSL (ejemplo)
30/6/2020;-37;-65;88.3;NOAA PSL (ejemplo)
31/7/2020;-37;-65;164;NOAA PSL (ejemplo)
31/8/2020;-37;-65;112.4;NOAA PSL (ejemplo)
30/9/2020;-37;-65;46.5;NOAA PSL (ejemplo)
31/10/2020;-37;-65;101.1;NOAA PSL (ejemplo)
30/11/2020;-37;-65;61.8;NOAA PSL (ejemplo)
31/12/2020;-37;-65;76.7;NOAA PSL (ejemplo)
31/1/2021;-37;-65;127.1;NOAA PSL (ejemplo)
28/2/2021;-37;-65;30.3;NOAA PSL (ejemplo)
31/3/2021;-37;-65;43.8;NOAA PSL (ejemplo)
30/4/2021;-37;-65;97.9;NOAA PSL (ejemplo)
31/5/2021;-37;-65;64.4;NOAA PSL (ejemplo)
30/6/2021;-37;-65;115.7;NOAA PSL (ejemplo)
31/7/2021;-37;-65;39.6;NOAA PSL (ejemplo)
31/8/2021;-37;-65;3.4;NOAA PSL (ejemplo)
30/9/2021;-37;-65;143.3;NOAA PSL (ejemplo)
31/10/2021;-37;-65;62.7;NOAA PSL (ejemplo)
30/11/2021;-37;-65;88.4;NOAA PSL (ejemplo)
31/12/2021;-37;-65;28.8;NOAA PSL (ejemplo)
31/1/2022;-37;-65;87.8;NOAA PSL (ejemplo)
28/2/2022;-37;-65;131.5;NOAA PSL (ejemplo)
31/3/2022;-37;-65;72.5;NOAA PSL (ejemplo)
30/4/2022;-37;-65;144.8;NOAA PSL (ejemplo)
31/5/2022;-37;-65;85;NOAA PSL (ejemplo)
30/6/2022;-37;-65;85.4;NOAA PSL (ejemplo)
31/7/2022;-37;-65;54.9;NOAA PSL (ejemplo)
31/8/2022;-37;-65;166.6;NOAA PSL (ejemplo)
30/9/2022;-37;-65;69.3;NOAA PSL (ejemplo)
31/10/2022;-37;-65;21.1;NOAA PSL (ejemplo)
30/11/2022;-37;-65;126.1;NOAA PSL (ejemplo)
31/12/2022;-37;-65;39;NOAA PSL (ejemplo)
31/1/2023;-37;-65;125.4;NOAA PSL (ejemplo)
28/2/2023;-37;-65;28;NOAA PSL (ejemplo)
31/3/2023;-37;-65;63.6;NOAA PSL (ejemplo)
30/4/2023;-37;-65;135.8;NOAA PSL (ejemplo)
31/5/2023;-37;-65;151.9;NOAA PSL (ejemplo)
30/6/2023;-37;-65;108.6;NOAA PSL (ejemplo)
31/7/2023;-37;-65;79.2;NOAA PSL (ejemplo)
31/8/2023;-37;-65;59;NOAA PSL (ejemplo)
30/9/2023;-37;-65;0;NOAA PSL (ejemplo)
31/10/2023;-37;-65;38;NOAA PSL (ejemplo)
30/11/2023;-37;-65;62;NOAA PSL (ejemplo)
31/12/2023;-37;-65;152.9;NOAA PSL (ejemplo)
31/1/2020;-37;-64;132.2;NOAA PSL (ejemplo)
29/2/2020;-37;-64;37.8;NOAA PSL (ejemplo)
31/3/2020;-37;-64;146.2;NOAA PSL (ejemplo)
30/4/2020;-37;-64;106.7;NOAA PSL (ejemplo)
31/5/2020;-37;-64;81.2;NOAA PSL (ejemplo)
30/6/2020;-37;-64;130.6;NOAA PSL (ejemplo)
31/7/2020;-37;-64;136.5;NOAA PSL (ejemplo)
31/8/2020;-37;-64;120.6;NOAA PSL (ejemplo)
30/9/2020;-37;-64;28;NOAA PSL (ejemplo)
31/10/2020;-37;-64;58.6;NOAA PSL (ejemplo)
30/11/2020;-37;-64;101.6;NOAA PSL (ejemplo)
31/12/2020;-37;-64;148.8;NOAA PSL (ejemplo)
31/1/2021;-37;-64;91;NOAA PSL (ejemplo)
28/2/2021;-37;-64;116.7;NOAA PSL (ejemplo)
31/3/2021;-37;-64;74.7;NOAA PSL (ejemplo)
30/4/2021;-37;-64;66.2;NOAA PSL (ejemplo)
31/5/2021;-37;-64;155.6;NOAA PSL (ejemplo)
30/6/2021;-37;-64;167.8;NOAA PSL (ejemplo)
31/7/2021;-37;-64;81.4;NOAA PSL (ejemplo)
31/8/2021;-37;-64;124.2;NOAA PSL (ejemplo)
30/9/2021;-37;-64;88.1;NOAA PSL (ejemplo)
31/10/2021;-37;-64;41.8;NOAA PSL (ejemplo)
30/11/2021;-37;-64;103.1;NOAA PSL (ejemplo)
31/12/2021;-37;-64;176.9;NOAA PSL (ejemplo)
31/1/2022;-37;-64;113.2;NOAA PSL (ejemplo)
28/2/2022;-37;-64;204.2;NOAA PSL (ejemplo)
31/3/2022;-37;-64;0;NOAA PSL (ejemplo)
30/4/2022;-37;-64;167.1;NOAA PSL (ejemplo)
31/5/2022;-37;-64;119.4;NOAA PSL (ejemplo)
30/6/2022;-37;-64;85;NOAA PSL (ejemplo)
31/7/2022;-37;-64;89.6;NOAA PSL (ejemplo)
31/8/2022;-37;-64;0;NOAA PSL (ejemplo)
30/9/2022;-37;-64;59;NOAA PSL (ejemplo)
31/10/2022;-37;-64;91.9;NOAA PSL (ejemplo)
30/11/2022;-37;-64;158.9;NOAA PSL (ejemplo)
31/12/2022;-37;-64;74.1;NOAA PSL (ejemplo)
